stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
best_economy_innings,Best Economy Rate (innings),20,SCJ Broad,,,,,14,,,,,,,,,,,17.0,11.0,0.0,,0.82,,,England,v Sri Lanka,Galle,14 Jan 2021,2403.0,
most_runs_conceded,Most Runs Conceded (innings),1,Zahid Mahmood,,,,,235,,,,,,,,,,,33.0,1.0,4.0,,7.12,,,Pakistan,v England,Rawalpindi,1 Dec 2022,2478.0,
most_runs_conceded,Most Runs Conceded (innings),2,GS Dinusha,,,,,234,,,,,,,,,,,56.0,1.0,2.0,,4.17,,,Sri Lanka,v West Indies,North Sound,25 Jun 2026,2624.0,
most_runs_conceded,Most Runs Conceded (innings),3,Yasir Shah,,,,,205,,,,,,,,,,,48.4,1.0,4.0,,4.21,,,Pakistan,v Australia,Brisbane,21 Nov 2019,2368.0,
most_runs_conceded,Most Runs Conceded (innings),4,Abrar Ahmed,,,,,205,,,,,,,,,,,67.5,8.0,5.0,,3.02,,,Pakistan,v New Zealand,Karachi,26 Dec 2022,2486.0,
most_runs_conceded,Most Runs Conceded (innings),5,Taijul Islam,,,,,198,,,,,,,,,,,52.2,5.0,5.0,,3.78,,,Bangladesh,v South Africa,Chattogram,29 Oct 2024,2559.0,
most_runs_conceded,Most Runs Conceded (innings),6,Yasir Shah,,,,,197,,,,,,,,,,,32.0,1.0,0.0,,6.15,,,Pakistan,v Australia,Adelaide,29 Nov 2019,2372.0,
most_runs_conceded,Most Runs Conceded (innings),7,KA Maharaj,,,,,196,,,,,,,,,,,50.0,10.0,1.0,,3.92,,,South Africa,v India,Pune,10 Oct 2019,2364.0,
most_runs_conceded,Most Runs Conceded (innings),8,KTH Ratnayake,,,,,196,,,,,,,,,,,49.2,3.0,3.0,,3.97,,,Sri Lanka,v Bangladesh,Galle,17 Jun 2025,2586.0,
most_runs_conceded,Most Runs Conceded (innings),9,NM Lyon,,,,,194,,,,,,,,,,,64.0,5.0,2.0,,3.03,,,Australia,v Sri Lanka,Galle,8 Jul 2022,2471.0,
most_runs_conceded,Most Runs Conceded (innings),10,NGRP Jayasuriya,,,,,194,,,,,,,,,,,53.0,11.0,2.0,,3.66,,,Sri Lanka,v Pakistan,Colombo (SSC),24 Jul 2023,2514.0,
most_runs_conceded,Most Runs Conceded (innings),11,L Embuldeniya,,,,,193,,,,,,,,,,,50.0,4.0,1.0,,3.86,,,Sri Lanka,v Pakistan,Karachi,19 Dec 2019,2375.0,
most_runs_conceded,Most Runs Conceded (innings),12,NGRP Jayasuriya,,,,,193,,,,,,,,,,,60.0,8.0,3.0,,3.21,,,Sri Lanka,v Australia,Galle,29 Jan 2025,2579.0,
most_runs_conceded,Most Runs Conceded (innings),13,MJ Leach,,,,,190,,,,,,,,,,,49.0,7.0,2.0,,3.87,,,England,v Pakistan,Rawalpindi,1 Dec 2022,2478.0,
most_runs_conceded,Most Runs Conceded (innings),14,KA Maharaj,,,,,189,,,,,,,,,,,55.0,6.0,3.0,,3.43,,,South Africa,v India,Visakhapatnam,2 Oct 2019,2363.0,
most_runs_conceded,Most Runs Conceded (innings),15,KN Peiris,,,,,189,,,,,,,,,,,41.0,1.0,0.0,,4.6,,,Sri Lanka,v Australia,Galle,29 Jan 2025,2579.0,
most_runs_conceded,Most Runs Conceded (innings),16,L Embuldeniya,,,,,188,,,,,,,,,,,46.0,3.0,2.0,,4.08,,,Sri Lanka,v India,Mohali,4 Mar 2022,2452.0,
most_runs_conceded,Most Runs Conceded (innings),17,Noman Ali,,,,,185,,,,,,,,,,,63.0,5.0,3.0,,2.93,,,Pakistan,v New Zealand,Karachi,26 Dec 2022,2486.0,
