match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1996-26,1996,Group A,26,1996-03-04,"Sawai Mansingh Stadium, Jaipur",India,Australia,229,6,50.0,West Indies,232,6,48.5,West Indies,4 wickets,Australia
ODIWC-1996-27,1996,Group B,27,1996-03-05,Rawalpindi Cricket Stadium,Pakistan,South Africa,328,3,50.0,Netherlands,168,8,50.0,South Africa,160 runs,South Africa
ODIWC-1996-28,1996,Group A,28,1996-03-06,"Asgiriya Stadium, Kandy",Sri Lanka,Sri Lanka,398,5,50.0,Kenya,254,7,50.0,Sri Lanka,144 runs,Kenya
ODIWC-1996-29,1996,Group A,29,1996-03-06,"Green Park, Kanpur",India,India,247,5,50.0,Zimbabwe,207,10,49.4,India,40 runs,Zimbabwe
ODIWC-1996-30,1996,Group B,30,1996-03-06,"Gaddafi Stadium, Lahore",Pakistan,Pakistan,281,5,50.0,New Zealand,235,9,47.3,Pakistan,46 runs,New Zealand
ODIWC-1996-31,1996,tournament quarter-finals,31,1996-03-09,"Iqbal Stadium, Faisalabad",Pakistan,England,235,8,50.0,Sri Lanka,236,5,40.4,Sri Lanka,5 wickets,England
ODIWC-1996-32,1996,tournament quarter-finals,32,1996-03-09,"M Chinnaswamy Stadium, Bangalore",India,India,287,8,50.0,Pakistan,248,9,49.0,India,39 runs,India
ODIWC-1996-33,1996,tournament quarter-finals,33,1996-03-11,"National Stadium, Karachi",Pakistan,West Indies,264,8,50.0,South Africa,245,10,49.3,West Indies,19 runs,West Indies
ODIWC-1996-34,1996,tournament quarter-finals,34,1996-03-11,"MA Chidambaram Stadium, Chepauk, Madras",India,New Zealand,286,9,50.0,Australia,289,4,47.5,Australia,6 wickets,New Zealand
ODIWC-1996-35,1996,tournament semi-finals,35,1996-03-13,"Eden Gardens, Calcutta",India,Sri Lanka,251,8,50.0,India,120,8,34.1,Sri Lanka,0 default,India
ODIWC-1996-36,1996,tournament semi-finals,36,1996-03-14,"Punjab Cricket Association Stadium, Mohali, Chandigarh",India,Australia,207,8,50.0,West Indies,202,10,49.3,Australia,5 runs,Australia
ODIWC-1996-37,1996,tournament finals,37,1996-03-17,"Gaddafi Stadium, Lahore",Pakistan,Australia,241,7,50.0,Sri Lanka,245,3,46.2,Sri Lanka,7 wickets,Sri Lanka
ODIWC-1999-1,1999,Group A,1,1999-05-14,"Lord's, London",England,Sri Lanka,204,10,48.4,England,207,2,46.5,England,8 wickets,England
ODIWC-1999-2,1999,Group A,2,1999-05-15,"New County Ground, Hove, Brighton",England,India,253,5,50.0,South Africa,254,6,47.2,South Africa,4 wickets,India
ODIWC-1999-3,1999,Group A,3,1999-05-15,"County Ground, Taunton",England,Kenya,229,7,50.0,Zimbabwe,231,5,41.0,Zimbabwe,5 wickets,Zimbabwe
ODIWC-1999-4,1999,Group B,4,1999-05-16,"County Ground, New Road, Worcester",England,Scotland,181,7,50.0,Australia,182,4,44.5,Australia,6 wickets,Australia
ODIWC-1999-5,1999,Group B,5,1999-05-16,"County Ground, Bristol",England,Pakistan,229,8,50.0,West Indies,202,10,48.5,Pakistan,27 runs,Pakistan
ODIWC-1999-6,1999,Group B,6,1999-05-17,"County Ground, Chelmsford",England,Bangladesh,116,10,37.4,New Zealand,117,4,33.0,New Zealand,6 wickets,New Zealand
